Vote_ID,Iniciative_ID,Título,Proposed_By,TextLink
126545,263626,Elimina o Dia de Reflexão e modifica os períodos de votação,IL,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764d7a677a4f574933596a45745a6a5a684e4330304d4441344c574530596a4d744d54426b4f44686d4d5755344d4755784c6d52765933673d&fich=3839b7b1-f6a4-4008-a4b3-10d88f1e80e1.docx&Inline=true
126546,263636,Determina a preparação da codificação da legislação eleitoral,PS,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e5749314d6a4e6a4d4749745a6a6b7a4d6930304d475a6c4c5745304e4463745a44526d4d6a497a5a6d4e684e7a64684c6d52765933673d&fich=5b523c0b-f932-40fe-a447-d4f223fca77a.docx&Inline=true
126547,263545,Recomenda ao Governo que as provas nacionais deste ano letivo se realizem em papel,IL,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45765a54526c4e7a67784f4759744d6a4a6d5a4330304d6d4d344c546c6c596a41744d6d526a4d32566c4d6d55314e54426d4c6d527659773d3d&fich=e4e7818f-22fd-42c8-9eb0-2dc3ee2e550f.doc&Inline=true
126569,263519,Reversão de medidas lesivas para a habitação aprovadas no âmbito do pacote “Mais Habitação”,IL,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764f446b305a6a5a694e5749744f4445314e533030596d5a6d4c57497a596a59744f544d30596d45794d324e69596a6b324c6d52765933673d&fich=894f6b5b-8155-4bff-b3b6-934ba23cbb96.docx&Inline=true
126570,263520,Reversão das alterações desproporcionais e persecutórias ao regime do alojamento local no âmbito do pacote “Mais Habitação”,IL,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764d444d774f4445774f474d744f4441314e7930304d7a45334c5745774d57517459545a685a444d305a54597a596a597a4c6d52765933673d&fich=0308108c-8057-4317-a01d-a6ad34e63b63.docx&Inline=true
126571,263521,Revogação do direito de preferência do estado em transações particulares de imóveis de habitação,IL,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764d6d5a694d4442694d6a5574597a5135595330304d7a6b7a4c546779597a63744e444a6b4e6a64684f545a6d4d6a46684c6d52765933673d&fich=2fb00b25-c49a-4393-82c7-42d67a96f21a.docx&Inline=true
126572,263525,"Baixa a tributação autónoma de IRS das rendas e facilita as situações de mudança de habitação, descontando o valor de rendas pagas ao valor de rendas recebidas para efeitos de cálculo de IRS",IL,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764d446c6b4d32566c597a59744d6d5934596930304d6a4d314c5467774d4455744d544d7a4d4441774e7a51304e325a694c6d52765933673d&fich=09d3eec6-2f8b-4235-8005-1330007447fb.docx&Inline=true
126573,263531,Facilita o acesso às cadernetas prediais do património imobiliário do Estado,IL,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e544268597a41334f4749744d7a4e6c4d693030597a59334c57466c5a6d45745a6a49314e7a4a695a6a63315a47497a4c6d52765933673d&fich=50ac078b-33e2-4c67-aefa-f2572bf75db3.docx&Inline=true
126574,263534,"Reduz as barreiras de transações de habitação própria e permanente, eliminando o imposto municipal sobre as transações onerosas de imóveis (IMT) para habitação própria e permanente e o imposto do selo sobre todas as operações imobiliárias",IL,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e6a67794d44526b4d4445744d5759784d6930305a4755784c5749344d4467745957526d5a6d4e6c4e474a68596d4a6b4c6d52765933673d&fich=68204d01-1f12-4de1-b808-adffce4babbd.docx&Inline=true
126575,263535,"Reduz o custo da construção de habitações através da diminuição Imposto sobre o Valor Acrescentado (IVA) relativo à construção, beneficiação, remodelação, renovação, restauro, reparação ou conservação de imóveis",IL,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764d444e68595455354f474d745a6d4a6a59793030596a4d784c546b30596a63745a6a4d314f54526a5a4455794d4467314c6d52765933673d&fich=03aa598c-fbcc-4b31-94b7-f3594cd52085.docx&Inline=true
126576,263549,"Adota medidas de proteção dos beneficiários do apoio extraordinário à renda, procedendo à alteração do Decreto-Lei n.º 20-B/2023, de 22 de março",PAN,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e7a41785a4445324d5751745a44497a5a5330305a6d45304c546b334e4459744e324e6a4f57566d4d4449334d574e694c6d52765933673d&fich=701d161d-d23e-4fa4-9746-7cc9ef0271cb.docx&Inline=true
126577,263652,"Defende a habitação própria e permanente, protege os inquilinos no arrendamento urbano e promove o correto urbanismo",PCP,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e3259795a574d785a6a59744d54526d4f5330305a54426d4c5467784e6a6774597a51774e5441775a444e684d6d51794c6d527659773d3d&fich=7f2ec1f6-14f9-4e0f-8168-c40500d3a2d2.doc&Inline=true
126578,263653,Alargamento da dedução de despesas com habitação em sede de IRS,PS,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45765a6d4d795a6a59334d7a45744e4463785a533030597a6b784c5467344e5751744e6a51325a6a63324e44426a596d4d334c6d52765933673d&fich=fc2f6731-471e-4c91-885d-646f7640cbc7.docx&Inline=true
126582,263656,"Reforça os incentivos à estabilidade nos contratos de arrendamento para habitação própria e permanente por via da redução das taxas de tributação autónoma, bem como torna mais acessível a compra de casa",CH,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d4576596d517a5a474d31595467744d6a55774e6930304f5463774c5749344d4445744f5449325a6d4e6a5a6d526a4f47466b4c6d52765933673d&fich=bd3dc5a8-2506-4970-b801-926fccfdc8ad.docx&Inline=true
